keywords;acces;trash;kw_acces;kw_acces_tl;kw_acces_lots;kw_trash;kw_trash_tl;kw_trash_lots
поставк;417;80;"оборудовани - 70; предложен - 44; сервер - 41; открыт - 37; материал - 36";поставк+(оборудовани/предложен/сервер/открыт/материал);156;"предложен - 26; открыт - 23; сист - 21; работ - 20; москв - 16";поставк+(предложен/открыт/сист/работ/москв);53
предложен;99;212;"открыт - 56; поставк - 49; торг - 26; прав - 18; заключени - 18";предложен+(открыт/поставк/торг/прав/заключени);68;"открыт - 158; торг - 77; работ - 77; прав - 68; заключен - 65";предложен+(открыт/торг/работ/прав/заключен);175
оборудовани;78;76;"поставк - 72; расходн - 33; материал - 33; компьютерн - 32; серверн - 11";оборудовани+(поставк/расходн/материал/компьютерн/серверн);76;"предложен - 33; работ - 33; открыт - 28; техническ - 28; прав - 26";оборудовани+(предложен/работ/открыт/техническ/прав);55
открыт;66;182;"предложен - 58; поставк - 38; торг - 22; прав - 20; договор - 19";открыт+(предложен/поставк/торг/прав/договор);62;"предложен - 164; торг - 77; прав - 69; работ - 66; договор - 64";открыт+(предложен/торг/прав/работ/договор);165
сервер;49;9;"поставк - 54; серверн - 17; оборудовани - 10; предложен - 8; открыт - 6";сервер+(поставк/серверн/оборудовани/предложен/открыт);60;"разработк - 5; открыт - 5; оборудован - 4; предложен - 4; прав - 3";сервер+(разработк/открыт/оборудован/предложен/прав);12
торг;41;93;"предложен - 27; открыт - 22; поставк - 21; прав - 8; заключени - 8";торг+(предложен/открыт/поставк/прав/заключени);33;"предложен - 85; открыт - 82; прав - 42; работ - 40; договор - 40";торг+(предложен/открыт/прав/работ/договор);90
материал;40;2;"расходн - 39; поставк - 36; оборудовани - 30; компьютерн - 28; оригинальн - 5";материал+(расходн/поставк/оборудовани/компьютерн/оригинальн);39;"разработк - 2; открыт - 1; офис - 1; презентационн - 1; услуг - 1";материал+(разработк/открыт/офис/презентационн/услуг);2
расходн;39;0;"материал - 39; поставк - 35; оборудовани - 30; компьютерн - 28; оригинальн - 5";расходн+(материал/поставк/оборудовани/компьютерн/оригинальн);38;;расходн+);0
компьютерн;36;2;"поставк - 36; оборудовани - 32; расходн - 28; материал - 28; техник - 4";компьютерн+(поставк/оборудовани/расходн/материал/техник);36;"оборудован - 2; оказан - 1; услуг - 1; оперативн - 1; замен - 1";компьютерн+(оборудован/оказан/услуг/оперативн/замен);2
прав;32;85;"открыт - 25; предложен - 23; поставк - 22; заключени - 20; договор - 20";прав+(открыт/предложен/поставк/заключени/договор);31;"предложен - 74; открыт - 72; заключен - 66; договор - 65; работ - 55";прав+(предложен/открыт/заключен/договор/работ);90
ноутбук;31;0;"поставк - 23; предложен - 11; извещен - 8; открыт - 8; apple - 5";ноутбук+(поставк/предложен/извещен/открыт/apple);26;;ноутбук+);0
коммутатор;30;4;"поставк - 25; модул - 5; патч-корд - 4; вологд - 3; предложен - 3";коммутатор+(поставк/модул/патч-корд/вологд/предложен);27;"поставк - 2; выбор - 1; аппаратн - 1; стекирован - 1; каб - 1";коммутатор+(поставк/выбор/аппаратн/стекирован/каб);4
систем;29;136;"поставк - 21; открыт - 8; предложен - 6; управлени - 6; блок - 6";систем+(поставк/открыт/предложен/управлени/блок);30;"предложен - 87; открыт - 71; сист - 63; работ - 60; выполнен - 43";систем+(предложен/открыт/сист/работ/выполнен);167
закупк;24;33;"предложен - 8; мтс-банк - 8; месяцев - 4; лицензи - 4; антивирусн - 4";закупк+(предложен/мтс-банк/месяцев/лицензи/антивирусн);14;"услуг - 15; мтс-банк - 14; предложен - 14; открыт - 12; сист - 11";закупк+(услуг/мтс-банк/предложен/открыт/сист);28
москв;22;41;"поставк - 18; кондиционер - 4; монтаж - 4; адрес - 3; объект - 3";москв+(поставк/кондиционер/монтаж/адрес/объект);19;"поставк - 16; адрес - 13; работ - 13; выполнен - 11; сист - 9";москв+(поставк/адрес/работ/выполнен/сист);32
apple;22;0;"поставк - 12; ipad - 6; спецификаци - 5; соответстви - 5; поставщик - 5";apple+(поставк/ipad/спецификаци/соответстви/поставщик);14;;apple+);0
лицензи;22;8;"поставк - 14; лиценз - 10; прав - 7; месяцев - 6; предложен - 5";лицензи+(поставк/лиценз/прав/месяцев/предложен);29;"лиценз - 15; открыт - 14; услуг - 13; сист - 11; приобретен - 11";лицензи+(лиценз/открыт/услуг/сист/приобретен);24
договор;21;66;"прав - 20; заключени - 20; открыт - 19; предложен - 19; поставк - 15";договор+(прав/заключени/открыт/предложен/поставк);21;"предложен - 67; прав - 65; заключен - 65; открыт - 63; торг - 39";договор+(предложен/прав/заключен/открыт/торг);66
программн;20;18;"поставк - 14; обеспечени - 9; комплекс - 8; обеспечен - 6; лицензи - 5";программн+(поставк/обеспечени/комплекс/обеспечен/лицензи);20;"техническ - 15; поддержк - 13; обеспечен - 10; услуг - 7; комплекс - 6";программн+(техническ/поддержк/обеспечен/услуг/комплекс);17
заключени;20;67;"договор - 21; прав - 20; открыт - 19; предложен - 19; поставк - 15";заключени+(договор/прав/открыт/предложен/поставк);21;"предложен - 68; прав - 66; договор - 66; открыт - 64; торг - 40";заключени+(предложен/прав/договор/открыт/торг);67
компьютер;19;0;"поставк - 49; компьютерн - 36; оборудовани - 32; материал - 28; расходн - 28";компьютер+(поставк/компьютерн/оборудовани/материал/расходн);48;"компьютерн - 2; оборудован - 2; оказан - 1; услуг - 1; оперативн - 1";компьютер+(компьютерн/оборудован/оказан/услуг/оперативн);2
